Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
1024x1024,Gaussian,earth-soil-creep-moon-lunar-surface-87009.png,31.69636947,0.2713393730550465,0.9942716324940976
1024x1024,Gaussian,california-mountains-landscape-scenic-158220.png,31.101992840558708,0.7285726118303116,0.9918519230507545
1024x1024,Gaussian,dubai-tower-arab-khalifa-162031.png,31.31016883869607,0.6431642166556293,0.9889996112996742
1024x1024,Gaussian,desert-drought-dehydrated-clay-soil-60013.png,30.95477449900023,0.7271889720913448,0.9840015366575606
1024x1024,Gaussian,blue-clouds-day-fluffy-53594.png,31.809118362931514,0.6369018680909865,0.9892458708923243
1024x1024,Gaussian,bellingrath-gardens-alabama-landscape-scenic-158028.png,30.592349838706244,0.8173180323991035,0.9862511977686693
1024x1024,Gaussian,amazing-animal-beautiful-beautifull.png,31.944737759154776,0.6594635336409939,0.9788964307334879
1024x1024,Gaussian,dawn-sun-mountain-landscape-65865.png,31.70906373866407,0.6794690417404211,0.9894475926875846
1024x1024,Gaussian,agriculture-arable-clouds-countryside.png,31.598483720761884,0.5139085978636811,0.988946007
1024x1024,Gaussian,daisy-flower-spring-marguerite-67857.png,31.44623823220897,0.7369740419548204,0.9928374235703483
1024x1024,Gaussian,fog-dawn-landscape-morgenstimmung-163323.png,31.57332866603496,0.5431986349923345,0.9913602998572231
1024x1024,Gaussian,dahlia-red-blossom-bloom-60597.png,31.706214013673623,0.5957689195100802,0.9659169970327682
1024x1024,Gaussian,bull-landscape-nature-mammal-139399.png,31.392678131203972,0.7279810441821942,0.9909963112454737
1024x1024,Gaussian,berchtesgaden-alpine-watzmann-berchtesgaden-national-park-957002.png,31.297573494750743,0.6785914105394375,0.9891795374593114
1024x1024,Gaussian,cereals-field-ripe-poppy-70741.png,31.65382921554183,0.6072131103883188,0.9724120726848705
1024x1024,Gaussian,antelope-canyon-lower-canyon-arizona.png,31.85421236170487,0.7230842940568382,0.9922086374090832
1024x1024,Gaussian,allgau-eisenberg-ostallgau-bavaria-161097.png,30.992370162983683,0.7616775049140831,0.9850418909793589
1024x1024,Gaussian,caravan-desert-safari-dune-53537.png,31.795523355258318,0.6382110962957845,0.9940313791753715
1024x1024,Gaussian,field-corn-air-frisch-158827.png,31.351318094586986,0.6976091291176618,0.987328652
1024x1024,Gaussian,california-road-highway-mountains-63324.png,31.47191413002819,0.6776551006516032,0.9929096821246383
1024x1024,Gaussian,field-clouds-sky-earth-46160.png,31.05627517856307,0.7220186631867153,0.9865153441948765
1024x1024,Gaussian,boat-house-cottage-waters-lake-65225.png,31.236194133219865,0.6971255689667564,0.9842727110664506
1024x1024,Gaussian,bellingrath-gardens-alabama-landscape-scenic-158063.png,30.83533666884464,0.7963814304642008,0.9866025589012795
1024x1024,Gaussian,fall-autumn-red-season.png,30.00603771119179,0.9021069331656535,0.9778802398099153
1024x1024,Gaussian,amazing-beautiful-beauty-blue.png,31.642531879027533,0.592929749,0.9893612014416713
1024x1024,Gaussian,field-of-rapeseeds-oilseed-rape-blutenmeer-yellow-46164.png,31.087662395120695,0.7440840794910035,0.970535789
1024x1024,Gaussian,field-of-poppies-brandenburg-nature-royalty-free-86431.png,31.344598062466513,0.7758311050679909,0.9876418354359432
1024x1024,Gaussian,garden-rose-red-pink-56866.png,32.111684521664834,0.6290837013149136,0.9806414922788794
1024x1024,Gaussian,full-moon-moon-bright-sky-47367.png,31.457513220210316,0.5370411713401951,0.9957895920043814
1024x1024,Gaussian,forest-sunbeams-trees-sunlight-70365.png,31.124689371083186,0.7905858436176384,0.9876964058731901
1024x1024,Gaussian,garden.png,31.395696452475686,0.7628828574496771,0.9775593625517608
1024x1024,Gaussian,hayden-valley-yellowstone-valley-landscape-80476.png,31.47132561731855,0.6846305154923917,0.9853358161956803
1024x1024,Gaussian,germany-history-architecture-medieval-161913.png,31.18605173926533,0.7410910913309674,0.9913590069016855
1024x1024,Gaussian,horseshoe-bend-page-arizona-colorado-river-86703.png,30.837564719319907,0.796583319,0.9858762511326196
1024x1024,Gaussian,hut-alpine-mountains-bavaria-957039.png,30.62613516499821,0.8263621701765687,0.9863084121553116
1024x1024,Gaussian,italian-landscape-mountains-nature.png,31.098054598642374,0.7489284270156501,0.9899727895456962
1024x1024,Gaussian,italy-mountains-dawn-daybreak-147411.png,31.038957769705146,0.7749317659530309,0.9880388104489751
1024x1024,Gaussian,italy-cala-gonone-air-sky-163872.png,31.287483272822758,0.8371418914289322,0.9837813055031701
1024x1024,Gaussian,landscape-autumn-fog-village-90766.png,31.750949859023393,0.6899911858336404,0.9890820033343751
1024x1024,Gaussian,landscape-reflection-waves-ripples-227692.png,31.419351725321206,0.695095014,0.985617242
1024x1024,Gaussian,landscape-valley-mist-misty-53420.png,31.90439851725706,0.6089095370685048,0.9954301471771265
1024x1024,Gaussian,lava-magma-volcanic-eruption-glow-73830.png,31.604805685527595,0.8140951051623395,0.9954051406452308
1024x1024,Gaussian,landscape-spring-wood-scenic-53414.png,31.704680400343314,0.7527065245836372,0.9937808669865567
1024x1024,Gaussian,milky-way-starry-sky-night-sky-star-956981.png,30.43790272573912,0.8490660352107644,0.9416498904673072
1024x1024,Gaussian,mt-fuji-sea-of-clouds-sunrise-46253.png,31.546825784167773,0.6061121898516834,0.9869331804774748
1024x1024,Gaussian,moon-landing-apollo-11-nasa-buzz-aldrin-41162.png,31.20921768449247,0.8391992414984832,0.991707769
1024x1024,Gaussian,mountains-clouds-forest-fog.png,31.517204941401214,0.5651115459204418,0.9949843870043867
1024x1024,Gaussian,netherlands-landscape-sky-clouds-70846.png,31.53377510853442,0.6664063019825811,0.990940528
1024x1024,Gaussian,niagara-falls-waterfall-horseshoe-158398.png,31.104970944831596,0.7971459322001536,0.9912632559650433
1024x1024,Gaussian,night-photograph-starry-sky-night-sky-star-957040.png,31.782901559937766,0.6366691537451865,0.9610364568672434
1024x1024,Gaussian,pexels-photo-1001435.png,31.380946508554498,0.6649757527565369,0.9771356483384106
1024x1024,Gaussian,pexels-photo-1000445.png,31.902992226744793,0.5949872357157296,0.9915890872326485
1024x1024,Gaussian,pexels-photo-1007957.png,31.731033184949432,0.6328347839535415,0.996061199
1024x1024,Gaussian,pexels-photo-1006073.png,31.45158698544565,0.7198151697554344,0.9730402525936899
1024x1024,Gaussian,pexels-photo-1002812.png,31.510723836155144,0.6263474360875624,0.9762385975083664
1024x1024,Gaussian,pexels-photo-1004665.png,31.395166568832934,0.6750185063282909,0.9749681468144149
1024x1024,Gaussian,pexels-photo-1008000.png,31.228907978120027,0.703419285,0.992762645
1024x1024,Gaussian,pexels-photo-1001682.png,31.218000560346336,0.7728122912090917,0.9925913055068274
1024x1024,Gaussian,pexels-photo-1006121.png,30.587387395177853,0.8694894228579234,0.9864169193427372
1024x1024,Gaussian,pexels-photo-1009136.png,31.79981362452642,0.6507367229613502,0.9804004573732275
1024x1024,Gaussian,pexels-photo-1010657.png,31.437131719784688,0.6516416855158896,0.9873945649671514
1024x1024,Gaussian,pexels-photo-101667.png,31.554824899591235,0.7626849178926061,0.9901220151270437
1024x1024,Gaussian,pexels-photo-101529.png,31.36518679633417,0.6268609063902875,0.9460918608498532
1024x1024,Gaussian,pexels-photo-1025469.png,31.512187476277575,0.5999403678903277,0.9865040306774563
1024x1024,Gaussian,pexels-photo-1020016.png,31.309780181403024,0.7814512161867577,0.9875298477788912
1024x1024,Gaussian,pexels-photo-1024975.png,31.475954888793293,0.5029567433772851,0.9942520102581313
