Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
1024x1024,Gaussian,lava-magma-volcanic-eruption-glow-73830.png,27.68784161,0.379607635,-0.099089123
1024x1024,Gaussian,milky-way-starry-sky-night-sky-star-956981.png,28.80902192,0.32379965,0.093249133
1024x1024,Gaussian,landscape-valley-mist-misty-53420.png,27.64413796,0.495589417,0.080439753
1024x1024,Gaussian,landscape-spring-wood-scenic-53414.png,27.31000403,0.439344866,0.050212679
1024x1024,Gaussian,moon-landing-apollo-11-nasa-buzz-aldrin-41162.png,28.48251819,0.350207116,-0.128561909
1024x1024,Gaussian,netherlands-landscape-sky-clouds-70846.png,27.41037857,0.400360286,-0.130777035
1024x1024,Gaussian,pexels-photo-1000445.png,30.00850844,0.344115247,0.040347658
1024x1024,Gaussian,night-photograph-starry-sky-night-sky-star-957040.png,27.60329582,0.564983194,-0.104390744
1024x1024,Gaussian,pexels-photo-1001435.png,27.60303294,0.450276978,0.16369524
1024x1024,Gaussian,pexels-photo-1001682.png,27.47188525,0.40644809,-0.16006241
1024x1024,Gaussian,niagara-falls-waterfall-horseshoe-158398.png,27.51232823,0.417404708,0.089641038
1024x1024,Gaussian,pexels-photo-1004665.png,27.64671117,0.460378486,-0.093072189
1024x1024,Gaussian,pexels-photo-1006073.png,27.37757646,0.477616451,0.072715213
1024x1024,Gaussian,pexels-photo-1009136.png,27.51022901,0.474555924,0.077824407
1024x1024,Gaussian,pexels-photo-1008000.png,27.60794485,0.391072365,0.1011463
1024x1024,Gaussian,pexels-photo-1007957.png,28.35393471,0.312259112,0.008188633
1024x1024,Gaussian,pexels-photo-1010657.png,27.59453079,0.442888189,0.143046427
1024x1024,Gaussian,pexels-photo-1002812.png,28.60340104,0.357956147,0.13261368
1024x1024,Gaussian,pexels-photo-1020016.png,27.5467649,0.478847166,-0.034873664
1024x1024,Gaussian,pexels-photo-1029021.png,27.44085288,0.425337458,0.234702086
1024x1024,Gaussian,pexels-photo-101529.png,27.58649859,0.387887344,0.118057669
1024x1024,Gaussian,pexels-photo-1006121.png,27.56762098,0.402527887,-0.143340121
1024x1024,Gaussian,pexels-photo-101667.png,27.31916524,0.438100983,0.037669925
1024x1024,Gaussian,pexels-photo-1025469.png,27.59219643,0.398522141,0.087493064
1024x1024,Gaussian,pexels-photo-1024975.png,28.83343541,0.328158182,-0.092505472
1024x1024,Gaussian,pexels-photo-1028225.png,27.1497869,0.405829506,-0.168718886
1024x1024,Gaussian,pexels-photo-103123.png,27.67788973,0.52714993,-0.12892362
